title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Groundhog Day",movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,701703,"FR, MC"
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,394411,US
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,79473,US
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,285240,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8,130111,US
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2955094,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NL, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"Ocean's Eleven",movie,"Crime, Thriller",2001,tt0240772,7.7,634415,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,421444,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,587630,"BE, FR, MC"
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,481683,US
"The Interpreter",movie,"Crime, Mystery, Thriller",2005,tt0373926,6.4,111948,"FR, HK, ID, MC, MY, PH, SG, TH, TW"
"The Good German",movie,"Drama, Mystery, Romance",2006,tt0452624,6,26313,PT
"A Clockwork Orange",movie,"Crime, Sci-Fi",1971,tt0066921,8.2,898829,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,801450,"FR, HK, MC, MY, PH, SG, TW"
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,808303,US
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.4,492436,"BE, FR, MC"
Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1112786,"AD, ES, PT"
"To Be or Not to Be",movie,"Comedy, Romance, War",1942,tt0035446,8.1,44982,US
"Mean Streets",movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,122341,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,68501,US
"North by Northwest",movie,"Action, Adventure, Mystery",1959,tt0053125,8.3,355004,"BE, FR, MC"
"Saw III",movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,218114,US
"Saw II",movie,"Horror, Mystery",2005,tt0432348,6.6,283778,US
"Ali: Fear Eats the Soul",movie,"Drama, Romance",1974,tt0071141,8,24579,US
